series,n,lag,mean_net_pp,naive_se,naive_t,naive_p,hac_se,hac_t,hac_p
daily (non-overlapping),1605,7,-1.9253696158994449,0.1372707819856863,-14.02607013705371,1.0797107514772434e-44,0.19029198606430256,-10.117975305848315,4.59829132799334e-24
30d rolling (overlapping),1576,30,-1.8555668928429192,0.047999733990292455,-38.65785783767452,0.0,0.2467554021119252,-7.51986330172118,5.483354330957595e-14
