category,maker_vwar_pp,half_spread_pp,net_alpha_pp,t_net,p_net,n_months,vol_share_pct,contracts,n
Sports,1.029295048536219,0.5668958675862006,0.4623991809500183,1.2051020221655373,0.3033938364191653,13,40.722292216728704,1658377761.0,7273639
Other,0.7189123987565212,0.6407711685220777,0.07814123023444353,0.39966226059419885,0.7150346843498402,53,20.521183437416713,835706253.0,3835546
Finance,0.7853878011752597,1.1052735296034597,-0.31988572842819996,-1.6954788306499726,0.11272387579184028,53,16.00614022806287,651835286.0,2649910
Crypto,0.6267812544936946,1.486508013681122,-0.8597267591874274,-2.640945483108641,0.04981160618677816,21,8.521585930517492,347033721.0,2766861
Politics,2.4482438960129027,0.4326777211302985,2.015566174882604,2.5176584402413646,0.09731560415950642,48,7.540927312554313,307097304.0,874393
Weather,0.9824168548316617,1.2875168153740564,-0.30509996054239463,-1.1112214519194725,0.28810343494762475,53,6.4613175997160655,263131195.0,4217319
Entertainment,3.5756131606055237,0.9304508318608842,2.6451623287446395,1.1611413589443964,0.33838576814645704,21,0.2136349465932511,8700086.0,57793
Science/Tech,-0.7322952287359293,1.1613475177304964,-1.8936427464664258,-1.1257393980184187,0.2757002259097715,31,0.012918328410593148,526087.0,5650
