bin_lo,n,contracts,pbar,f,delta,sd_dev,t,pval,mid
0.0,961773,498155113.0,0.022041302885387536,0.012910530863311821,-0.00913077202207777,0.11263408379637575,-79.50125037114033,0.0,0.025
0.05,907496,232579723.0,0.0692058036619782,0.045378712413057465,-0.023827091248878073,0.20791832390449438,-109.16932428838228,0.0,0.07500000000000001
0.1,771529,150862939.0,0.1195600165386132,0.09775523667937304,-0.02180477985920862,0.2963508580869454,-64.62813816127462,0.0,0.125
0.15,776504,137340276.0,0.17014771334080026,0.1507397257451346,-0.019407987595693888,0.3574778100106694,-47.841332341352135,0.0,0.175
0.2,755267,117368060.0,0.21963227573808933,0.2126042843127,-0.007027991425535216,0.4087561246943826,-14.942291502068944,1.7779223854544353e-50,0.225
0.25,753142,109153678.0,0.2699318986328698,0.258171765749354,-0.011760132883320932,0.437404462904972,-23.33283193313823,2.2725590173265254e-120,0.275
0.3,749261,105431975.0,0.31942999835835556,0.3014463584785542,-0.01798363987983203,0.45843331662193615,-33.956114444471034,1.5446003695067068e-252,0.325
0.35,778514,106325780.0,0.37043990217255357,0.3548606704567933,-0.015579231715804068,0.4784577362250545,-28.7300028523741,2.0048882575336277e-181,0.375
0.4,801365,116194236.0,0.4203477441613897,0.4007874064876804,-0.01956033767384846,0.49007454985684007,-35.729701124944654,2.274127509884955e-279,0.42500000000000004
0.45,935521,148604804.0,0.47035368527278826,0.44344488258414294,-0.026908802688535304,0.4969275226720199,-52.37548932435938,0.0,0.47500000000000003
0.5,855400,144839488.0,0.5197650806639369,0.5066974514846855,-0.013067629179335431,0.4996992333493072,-24.186484135924687,3.4126609897654575e-129,0.525
0.55,832712,145154034.0,0.569520554525524,0.5636354465889768,-0.00588510793648294,0.4956863637024116,-10.834150705445758,2.3815540084891337e-27,0.5750000000000001
0.6,691471,108443976.0,0.6189492256362064,0.6160214962015761,-0.002927729434775411,0.4860854936134444,-5.008472158250657,5.487727316509885e-07,0.625
0.65,610368,98846509.0,0.6689953929433065,0.665198699800776,-0.003796693142507808,0.47163373593767866,-6.289216043101557,3.1928792609294987e-10,0.675
0.7,517050,88244620.0,0.7196149888793207,0.7002127453824581,-0.01940224349675592,0.4576824103174866,-30.482739869932733,6.702533244528173e-204,0.725
0.75,469689,81386911.0,0.7688614381005102,0.7850939664331079,0.016232528332579682,0.410399179014618,27.107213782188836,1.0796139861102566e-161,0.775
0.8,427472,81991574.0,0.8195280158701272,0.8318626717071528,0.012334655837110025,0.3736592719733095,21.582666974555455,2.968450222071188e-103,0.8250000000000001
0.85,394060,85592386.0,0.870242628026088,0.8750139572653911,0.004771329239202549,0.33032312209366116,9.067375210493982,1.2245508329349813e-19,0.875
0.9,421742,94770914.0,0.9200120927011818,0.9272398765121804,0.007227783810956861,0.25946898650320555,18.09018987013415,4.058737363451134e-73,0.925
0.95,467324,128113579.0,0.9708203088222089,0.9613094983352022,-0.009510810486944837,0.19262293221758117,-33.753481985052815,1.903386650820317e-249,0.975
