category,taker_gross,taker_net,taker_fee_pp,maker_gross,maker_net,maker_fee_pp,vol_share_pct,contracts
All,-1.0014453702681725,-1.980384322982995,0.9789389527148225,1.0014453702681725,0.7567106320896488,0.24473473817852365,100.0,4072407693.0
Sports,-1.0292950485362025,-2.157784621875276,1.1284895733390736,1.0292950485362025,0.7471726552016563,0.28212239333454614,40.722292216728704,1658377761.0
Other,-0.7189123987564886,-1.7253032232032621,1.0063908244467736,0.7189123987564886,0.46731469264483055,0.25159770611165805,20.521183437416713,835706253.0
Finance,-0.7853878011752984,-1.551699355506479,0.7663115543311807,0.7853878011752984,0.5938099125925426,0.19157788858275582,16.00614022806287,651835286.0
Crypto,-0.6267812544937031,-1.725532297464269,1.0987510429705658,0.6267812544937031,0.35209349375105686,0.2746877607426463,8.521585930517492,347033721.0
Politics,-2.448243896012852,-3.1212642383413978,0.6730203423285457,2.448243896012852,2.2799888104306745,0.1682550855821776,7.540927312554313,307097304.0
Weather,-0.9824168548316636,-1.6596423698842435,0.6772255150525799,0.9824168548316636,0.813110476068492,0.16930637876317167,6.4613175997160655,263131195.0
Entertainment,-3.5756131606055233,-4.485318687355519,0.9097055267499954,3.5756131606055233,3.3481867789180138,0.2274263816875095,0.2136349465932511,8700086.0
Science/Tech,0.7322952287359293,-0.2569384810877305,0.9892337098236599,-0.7322952287359293,-0.9796036561918511,0.24730842745592174,0.012918328410593148,526087.0
