category,n_points,eq_net,eq_naive_t,eq_naive_p,eq_hac_t,eq_hac_p,vw_net,vw_naive_t,vw_naive_p,vw_hac_t,vw_hac_p
All,1576,-1.7328482894270276,-35.71716979423917,2.140258624918007e-279,-6.936563175776976,4.017536301925115e-12,0.23122104122796208,9.67589068975378,3.817528261165891e-22,2.567099662757783,0.010255313238010495
Crypto,587,-1.9205922165994533,-21.442188718395403,5.4012795949594064e-102,-4.67272064838395,2.9723591981458363e-06,-0.7636355655832656,-20.380936872819746,2.468844431716608e-92,-4.450337907231689,8.573528347714857e-06
Entertainment,480,-1.6608971401285657,-6.807645965930974,9.920863477316109e-12,-1.4004773867575644,0.16137041041530242,-2.25094645854855,-4.166042692577039,3.099326850881315e-05,-1.1917776231999584,0.23334845207935428
Finance,1540,-1.244255501530852,-16.748168163202955,5.839693932056797e-63,-3.458516640595085,0.0005431587183025151,-0.0932123448084286,-2.0906101042101617,0.03656302925013286,-0.42596015416593586,0.6701368808642261
Other,1559,-2.4718063271325654,-32.96647336871592,2.4568215779706948e-238,-6.869764861603949,6.43078144523289e-12,0.2608080301483926,2.465828300531965,0.013669684229386105,0.6531381476520818,0.5136672210289048
Politics,1240,-0.33336655115682134,-3.202445596046374,0.0013626603643144275,-0.6771298139318315,0.49832359416454275,1.4124035457154756,8.867708728796394,7.46663281313524e-19,2.476376580562988,0.013272350410838275
Science/Tech,698,2.203884927088137,8.8131507107556,1.216767952087074e-18,1.8988271482378685,0.0575872064658607,2.0051479134625563,7.939168691502962,2.0354079567337345e-15,1.847757971354774,0.06463736343105096
Sports,334,2.2097059423044287,14.865439437665605,5.525116092962813e-50,2.9503408543562832,0.0031742352736522416,0.6395316630689751,13.458214396955677,2.7549341556222773e-41,3.4952376403018515,0.00047363984431445096
Weather,1562,-2.49235373811514,-46.335262100642446,0.0,-8.724380252982646,2.6764233766483832e-18,-0.49607635985366805,-10.06137059111871,8.185078938034512e-24,-2.236676261628626,0.025307506586057762
