category,markets,trades,contracts,pct_yes,med_ttc_h,mean_ttc_h
Sports,241381,7273639,1658377761.0,43.41960056032475,2.1364169792996512,60.93368119670278
Other,10338,3835546,835706253.0,46.24559319585791,26.370132932861647,284.1249044182843
Finance,41600,2649910,651835286.0,39.58470287670147,3.4811982308162586,177.2006444717798
Crypto,51879,2766861,347033721.0,49.395289463402754,0.5247141057915158,105.30459889550428
Politics,960,874393,307097304.0,45.73892974898015,217.2147269543012,586.3088699182556
Weather,28444,4217319,263131195.0,33.78082141758781,13.478568599687682,17.46181738265845
Entertainment,632,57793,8700086.0,36.72763137404184,274.8980693505208,596.2892457018262
Science/Tech,10,5650,526087.0,45.57522123893805,2560.7308518097134,3108.000128680163
All,375244,21681111,4072407693.0,42.414791382231286,5.357749136421416,135.230886719825
