category,bin_lo,n,contracts,delta,sd_dev,t,pval,mid
Other,0.1,140639,30026468.0,0.01531196894175619,0.3408962822133934,16.844637120069294,1.3265372036156942e-63,0.125
Other,0.15,143819,29142900.0,0.010285567275527645,0.38415853686241275,10.153736594705844,3.2497422762189008e-24,0.175
Other,0.2,139750,26166520.0,0.013331019677997324,0.42327129499133437,11.773903198812208,5.509140223258633e-32,0.225
Other,0.25,148128,27073585.0,-0.030464328148628254,0.42600245959012434,-27.523146242798287,2.4423422508555633e-166,0.275
Other,0.3,137156,23423831.0,-0.03406223570241365,0.45163996700820924,-27.931109556448778,3.3866031714282395e-171,0.325
Other,0.35,122153,19383259.0,-0.0821214378688926,0.4544419185694219,-63.158270489641176,0.0,0.375
Other,0.4,104418,15862884.0,-0.01983910819973948,0.4884662436268364,-13.124273583368792,2.568546014691809e-39,0.42500000000000004
Other,0.45,133638,22912358.0,-0.02125720229274913,0.49974903253111363,-15.549596617414617,1.7875317319893133e-54,0.47500000000000003
Other,0.5,126257,25958213.0,0.03152862811566873,0.49550143295196675,22.60934037984875,5.888019433572784e-113,0.525
Other,0.55,116705,19463086.0,-0.013827171072352205,0.4946070770452249,-9.550315992747658,1.3167613516058615e-21,0.5750000000000001
Other,0.6,146460,24708720.0,0.07600027311212142,0.45998541904479645,63.23108041046338,0.0,0.625
Other,0.65,143122,25198164.0,0.02538282025124021,0.4592245936553358,20.910669312328018,5.984657551836259e-97,0.675
Other,0.7,145060,31463256.0,-0.05597470012409141,0.470251310989873,-45.33520638706196,0.0,0.725
Other,0.75,129036,26168641.0,0.06472186056604369,0.3725815754963142,62.40006823545762,0.0,0.775
Other,0.8,100012,25000077.0,0.04827830660321028,0.3382231142011029,45.141376778036786,0.0,0.8250000000000001
Other,0.85,81487,22169788.0,0.0008004957846014839,0.3346486398339296,0.6828324468142671,0.494714665429177,0.875
Other,0.9,90790,23270524.0,0.00872034365018101,0.25944623689488205,10.127569496272885,4.293677791905974e-24,0.925
Other,0.95,74441,26778100.0,-0.018385835762550876,0.21653582892264495,-23.166461772214767,2.6077900487867474e-118,0.975
Politics,0.0,37043,35784572.0,-0.02049483033231724,0.04843605302514915,-81.43829209818203,0.0,0.025
Politics,0.05,45344,27618093.0,-0.0461088567395922,0.16042328216854312,-61.20358629445585,0.0,0.07500000000000001
Politics,0.1,44932,20977256.0,-0.07987981839223958,0.19272544805753644,-87.85690094023339,0.0,0.125
Politics,0.15,38368,13815461.0,-0.0749658569641494,0.29408178649463756,-49.93211506949975,0.0,0.175
Politics,0.2,29093,7343020.0,-0.0981868490702343,0.3262084776044427,-51.33958258002949,0.0,0.225
Politics,0.25,20937,3718294.0,-0.07024836414003476,0.3992111961385797,-25.46189536157242,7.234135638587418e-141,0.275
Politics,0.3,18896,3252569.0,-0.09422099915325739,0.41739062235250757,-31.030584637598828,3.043249276933305e-206,0.325
Politics,0.35,18509,2980902.0,-0.09609163109838623,0.4448681922575219,-29.38635277802196,1.4696602723508553e-185,0.375
Politics,0.4,14481,2059405.0,-0.028308818451762998,0.4888509672287548,-6.9685840283296105,3.339737621953689e-12,0.42500000000000004
Politics,0.45,20332,2626817.0,-0.047872319496371184,0.49433069188740675,-13.808831974173543,3.5322887868601734e-43,0.47500000000000003
Politics,0.5,20279,2477973.0,-0.10650278613343205,0.49226266934870483,-30.809690412496675,9.495526906302432e-204,0.525
Politics,0.55,19840,2839574.0,-0.10243548387096396,0.49904360960893457,-28.912307781114574,4.479796585506305e-180,0.5750000000000001
Politics,0.6,17023,2250781.0,0.0052875521353443426,0.4812828834740081,1.4334161576646964,0.15175731038044504,0.625
Politics,0.65,17478,2373471.0,0.10243105618491581,0.421038722165663,32.16292065842917,1.4946896455220765e-220,0.675
Politics,0.7,18690,3542406.0,0.04618833600855174,0.42336504486103993,14.914955762528027,5.110884951627845e-50,0.725
Politics,0.75,14604,2829565.0,0.10364283757874686,0.32770378285392965,38.22027013197504,1.0346998275152725e-304,0.775
Politics,0.8,19817,5252456.0,0.08831558762678769,0.2876805022457638,43.21613160363144,0.0,0.8250000000000001
Politics,0.85,20993,9304802.0,0.09518601438574673,0.17872112201355336,77.16751465450015,0.0,0.875
Politics,0.9,34985,14532517.0,0.06836501357725165,0.10037126353484106,127.39883369604665,0.0,0.925
Politics,0.95,25015,18962256.0,0.02464921047371603,0.07429869788113683,52.47132899573362,0.0,0.975
Science/Tech,0.0,43,16026.0,-0.026511627906976757,0.008966530605331448,-19.388588276919517,1.428795002282366e-22,0.025
Science/Tech,0.05,231,28891.0,-0.05839826839826848,0.12946893801229697,-6.855519556485644,6.47050347819142e-11,0.07500000000000001
