category,0-6h,6h-1d,1-3d,3-7d,7-30d,30d+
Sports,0.735052368369973,1.7905597007276615,1.889654853755706,3.5882306252281273,2.24365331447597,0.4428697732080432
Other,0.7643154296857883,0.5591861524586288,0.5821288440825424,1.4447855146640602,0.6564835021697565,0.0544226863093914
Finance,0.0598381420421176,1.4654024770474556,1.5148516275971033,1.4371365882778233,1.7011333444122991,0.8201078540703868
Crypto,0.30813043796440326,1.3556889714480114,-1.38511323014562,0.11624510849410151,4.482236341477633,2.061426707515306
Politics,1.3534775151775134,2.0399160103325933,2.1899583637722952,3.5398140245766845,1.7099311331609024,2.78245819474028
Weather,1.2972350582850039,1.0769678202858706,0.17937728550397217,1.1608497723823985,-0.9147903726708083,2.8290946437229656
Entertainment,7.320683902589497,6.463084746495874,8.258104540213562,0.6822589568257653,-1.3144637050049468,1.6074392902755241
Science/Tech,-7.396637371035536,15.348626411936964,0.25248860359103426,-18.353794333267295,-1.8804248053140151,0.4617544155905891
