category,bin_lo,taker_side,vwar_pp,contracts,n,mid
Finance,0.0,no,0.5221529316962704,43279125.0,140374,0.025
Finance,0.0,yes,-1.4007652744059398,127331581.0,162756,0.025
Finance,0.05,no,3.019425015954422,25298615.0,107335,0.07500000000000001
Finance,0.05,yes,-4.387406171773725,57741553.0,140372,0.07500000000000001
Finance,0.1,no,5.410699490983287,17601585.0,80574,0.125
Finance,0.1,yes,-6.916019470948322,26463015.0,96036,0.125
Finance,0.15,no,6.130233945680758,13736864.0,72437,0.175
Finance,0.15,yes,-10.023867250983765,19798384.0,81542,0.175
Finance,0.2,no,3.744292335320728,11243171.0,66123,0.225
Finance,0.2,yes,-8.238679078980448,12899878.0,73536,0.225
Finance,0.25,no,3.8216492001094635,9181069.0,62081,0.275
Finance,0.25,yes,-6.888092882121732,9642157.0,64921,0.275
Finance,0.3,no,-0.0714292344500212,7756698.0,60411,0.325
Finance,0.3,yes,-3.046490020886499,8474851.0,62491,0.325
Finance,0.35,no,1.9537857240180854,7992487.0,61479,0.375
Finance,0.35,yes,-1.8464860057901336,8195318.0,61932,0.375
Finance,0.4,no,-0.5651196751139163,7794979.0,62120,0.42500000000000004
Finance,0.4,yes,-1.3441188141691,8187643.0,61495,0.42500000000000004
Finance,0.45,no,1.6912098006087437,8098599.0,61311,0.47500000000000003
Finance,0.45,yes,0.5848347354951319,8048643.0,65448,0.47500000000000003
Finance,0.5,no,4.383272090051394,8476576.0,61719,0.525
Finance,0.5,yes,-5.833443754470935,9804886.0,67679,0.525
Finance,0.55,no,2.493197053556206,6912740.0,52056,0.5750000000000001
Finance,0.55,yes,-4.395031733798616,8134387.0,60755,0.5750000000000001
Finance,0.6,no,1.2797763771600297,5947693.0,47171,0.625
Finance,0.6,yes,1.1735878936820763,7334947.0,56603,0.625
Finance,0.65,no,-2.424919845068953,5921345.0,40039,0.675
Finance,0.65,yes,2.08203613974439,7315215.0,49423,0.675
Finance,0.7,no,-5.323806527356057,6213695.0,37592,0.725
Finance,0.7,yes,6.804854246744273,7206803.0,46392,0.725
Finance,0.75,no,-7.2029782718889175,7423701.0,37198,0.775
Finance,0.75,yes,9.90370118189309,9945823.0,49171,0.775
Finance,0.8,no,-7.2300319716563015,7715584.0,37489,0.8250000000000001
Finance,0.8,yes,8.05390718864992,11808017.0,50104,0.8250000000000001
Finance,0.85,no,-6.222054807076472,10670082.0,41301,0.875
Finance,0.85,yes,7.8738766278727015,16084719.0,54610,0.875
Finance,0.9,no,-4.001729442691198,14267602.0,47556,0.925
Finance,0.9,yes,4.823998597675424,17074506.0,53481,0.925
Finance,0.95,no,-1.9893541706010116,23505449.0,53515,0.975
Finance,0.95,yes,1.1073010890575754,21305301.0,61282,0.975
Other,0.0,no,-1.2876023249194453,29194990.0,96841,0.025
Other,0.0,yes,-0.8557132098203435,73606565.0,185893,0.025
Other,0.05,no,-3.9545512358266826,17965505.0,80204,0.07500000000000001
Other,0.05,yes,-1.7927796918893006,44700170.0,170609,0.07500000000000001
Other,0.1,no,-4.735696334825975,14635567.0,70156,0.125
Other,0.1,yes,3.658633875952366,30026468.0,140639,0.125
Other,0.15,no,-4.892844321819279,13886217.0,64751,0.175
Other,0.15,yes,2.5324371630826246,29142900.0,143819,0.175
Other,0.2,no,-3.972696321049412,10966361.0,59201,0.225
Other,0.2,yes,0.7139843968553252,26166520.0,139750,0.225
Other,0.25,no,-6.184795591513432,11597268.0,62640,0.275
Other,0.25,yes,-0.2985108178323839,27073585.0,148128,0.275
Other,0.3,no,-4.439137710024372,10770298.0,53629,0.325
Other,0.3,yes,-0.0044068367808919855,23423831.0,137156,0.325
Other,0.35,no,3.0206101602108832,9876488.0,50729,0.375
Other,0.35,yes,-8.603376140204457,19383259.0,122153,0.375
Other,0.4,no,-5.30889166443602,9440381.0,49763,0.42500000000000004
Other,0.4,yes,0.2861941119911293,15862884.0,104418,0.42500000000000004
Other,0.45,no,2.3827690751774213,11161351.0,58842,0.47500000000000003
Other,0.45,yes,-6.119576169331314,22912358.0,133638,0.47500000000000003
Other,0.5,no,-7.97441828865473,10531469.0,55194,0.525
Other,0.5,yes,9.084761882491453,25958213.0,126257,0.525
Other,0.55,no,-3.996082608493158,9278368.0,56861,0.5750000000000001
Other,0.55,yes,0.5273620534790695,19463086.0,116705,0.5750000000000001
Other,0.6,no,-7.852157863827946,10255953.0,68286,0.625
Other,0.6,yes,11.364052893067802,24708720.0,146460,0.625
Other,0.65,no,-2.394083484329156,10994782.0,62553,0.675
Other,0.65,yes,2.2647447647375625,25198164.0,143122,0.675
Other,0.7,no,-1.420245125695825,10480419.0,57180,0.725
Other,0.7,yes,-11.767572084720316,31463256.0,145060,0.725
Other,0.75,no,-6.202638928343202,9553954.0,53578,0.775
Other,0.75,yes,6.3414595354798085,26168641.0,129036,0.775
Other,0.8,no,-5.804057415345774,10875002.0,50830,0.8250000000000001
Other,0.8,yes,3.141491364206741,25000077.0,100012,0.8250000000000001
