mid,bin_lo,n,slope_pp_day,intercept_pp,r2,se,t,pval
0.025,0.0,961042,-0.0019959386742788754,-0.8987001466357574,2.7102609793288932e-05,3.910794716343016e-06,-5.103665160275346,3.3320075239638746e-07
0.07500000000000001,0.05,907376,-0.012149533825117347,-2.282823010602243,0.00025362275777577556,8.00787450196657e-06,-15.17198330485033,5.501766906308565e-52
0.125,0.1,771400,-0.03615792910956772,-1.906659634066027,0.0009665489555864725,1.3235561849082207e-05,-27.31877159568788,3.0419309771278782e-164
0.175,0.15,776390,-0.02482172546681445,-1.7745651713838821,0.00020287802652477533,1.977566042753027e-05,-12.551654372189464,3.924536633090496e-36
0.225,0.2,755177,0.01178221872752553,-0.7752775982773672,3.5875388003973316e-05,2.263586967812327e-05,5.205109808046212,1.939324730700477e-07
0.275,0.25,753048,0.04456702743941084,-1.4082935501090288,0.00042896742522966906,2.4791202287029792e-05,17.97695284134216,3.057611075882909e-72
0.325,0.3,749147,0.03603182199498482,-1.977558510854036,0.00022784067825755297,2.7576437954067893e-05,13.06616251707362,5.1901614249562984e-39
0.375,0.35,778259,0.025263677364143415,-1.6541481546378725,8.941471327487294e-05,3.0283853562218015e-05,8.342292803734283,7.29804495816101e-17
0.42500000000000004,0.4,801296,0.10202295490833906,-2.326233775064185,0.001378229396823366,3.067903627393318e-05,33.2549412560994,2.53715650631609e-242
0.47500000000000003,0.45,935460,0.10708431946267673,-3.0618067891760656,0.0014235244246603438,2.932391406546818e-05,36.517744262788966,9.329739290327607e-292
0.525,0.5,855361,0.0430679234441675,-1.4492467020081834,0.00019424658468952254,3.340879700541354e-05,12.891192531472715,5.087127749825268e-38
0.5750000000000001,0.55,832667,0.06586810905218736,-0.8341881692460612,0.0005694138804534359,3.0241430747794706e-05,21.780751579351335,3.7802121899275795e-105
0.625,0.6,691417,0.08046752982402282,-0.6747183624459645,0.0012522607816760679,2.7329506272020436e-05,29.443462689409923,2.0040053520030182e-190
0.675,0.65,610088,0.0326030522065933,-0.5474463761568494,0.0001940110264202082,2.9964524484945617e-05,10.880550506641043,1.435342026515929e-27
0.725,0.7,516997,0.013687707141057633,-2.026283290178663,5.26739336016863e-05,2.6228787757434537e-05,5.218581684995281,1.803678145842253e-07
0.775,0.75,469598,0.030380131215406864,1.4714848467427253,0.00022420473531086318,2.9604407221974735e-05,10.262029902377618,1.0511720822476956e-24
0.8250000000000001,0.8,427440,0.05095151666042653,0.9506872210378979,0.0007367891889112342,2.8700461384391504e-05,17.752856296636427,1.7366392593636378e-70
0.875,0.85,394003,0.03618590198257492,0.3014914278830059,0.00034334646815055827,3.11064090516544e-05,11.632940955185683,2.8359545176238376e-31
0.925,0.9,421661,-0.05363127381669572,0.9394399846144064,0.0008300850818318555,2.8654695315907943e-05,-18.716399956596913,3.91544006404519e-78
0.975,0.95,467107,-0.045841425198929385,-0.8268843617660664,0.0006764414079795069,2.5780350865864666e-05,-17.781536580879994,1.0368264111453601e-70
