category,yes_vol_pct,yes_capital_pct,yes_trade_pct,contracts,n
Sports,77.25095337913181,71.70545538627154,77.16908964000001,1658377761.0,7273639
Other,67.30560014129749,63.84428959351651,67.25438829308786,835706253.0,3835546
Finance,61.794388191497816,45.806749336563065,53.58781996369688,651835286.0,2649910
Crypto,52.41859335047155,49.21326602542024,51.55466790706147,347033721.0,2766861
Politics,60.09241618089881,53.082205522280276,56.80043184243241,307097304.0,874393
Weather,60.77019982370391,37.90655364136896,54.435388928368944,263131195.0,4217319
Entertainment,73.32183842780405,63.818153705727376,74.67340335334728,8700086.0,57793
Science/Tech,52.54016921155626,50.91037392236846,54.54867256637168,526087.0,5650
All,68.24956596996587,60.40270018040957,64.00806674528809,4072407693.0,21681111
